id_vehiculo,VIN,id_cliente,sucursal,pais,modelo,anio
EV-ACME-00001,ACEMDLB19SK000001,CLI-00033,SUC-010,Perú,Model B,2025
EV-ACME-00002,ACEMDLD12RJ000002,CLI-00364,SUC-009,Panamá,Model D,2024
EV-ACME-00003,ACEMDLB14SH000003,CLI-00205,SUC-008,Chile,Model B,2025
EV-ACME-00004,ACEMDLF14RD000004,CLI-00971,SUC-004,Costa Rica,Model F,2024
EV-ACME-00005,ACEMDLA16RB000005,CLI-00997,SUC-002,Guatemala,Model A,2024
EV-ACME-00006,ACEMDLD19TC000006,CLI-00307,SUC-003,Honduras,Model D,2026
EV-ACME-00007,ACEMDLC17SG000007,CLI-00866,SUC-007,Canadá,Model C,2025
EV-ACME-00008,ACEMDLC19TH000008,CLI-00339,SUC-008,Chile,Model C,2026
EV-ACME-00009,ACEMDLA12SJ000009,CLI-00198,SUC-009,Panamá,Model A,2025
EV-ACME-00010,ACEMDLA17SF000010,CLI-00686,SUC-006,Argentina,Model A,2025
EV-ACME-00011,ACEMDLD12RE000011,CLI-00665,SUC-005,Colombia,Model D,2024
EV-ACME-00012,ACEMDLD17TD000012,CLI-00742,SUC-004,Costa Rica,Model D,2026
EV-ACME-00013,ACEMDLE11TF000013,CLI-00626,SUC-006,Argentina,Model E,2026
EV-ACME-00014,ACEMDLA10TA000014,CLI-00443,SUC-001,México,Model A,2026
EV-ACME-00015,ACEMDLB15SJ000015,CLI-00632,SUC-009,Panamá,Model B,2025
EV-ACME-00016,ACEMDLF18SA000016,CLI-00853,SUC-001,México,Model F,2025
EV-ACME-00017,ACEMDLF10TE000017,CLI-00043,SUC-005,Colombia,Model F,2026
EV-ACME-00018,ACEMDLB17RK000018,CLI-00269,SUC-010,Perú,Model B,2024
EV-ACME-00019,ACEMDLE12SF000019,CLI-00222,SUC-006,Argentina,Model E,2025
EV-ACME-00020,ACEMDLB19TK000020,CLI-00594,SUC-010,Perú,Model B,2026
EV-ACME-00021,ACEMDLB13SB000021,CLI-00907,SUC-002,Guatemala,Model B,2025
EV-ACME-00022,ACEMDLA17SK000022,CLI-00068,SUC-010,Perú,Model A,2025
EV-ACME-00023,ACEMDLA16TB000023,CLI-00139,SUC-002,Guatemala,Model A,2026
EV-ACME-00024,ACEMDLB12SG000024,CLI-00106,SUC-007,Canadá,Model B,2025
EV-ACME-00025,ACEMDLC16SC000025,CLI-00360,SUC-003,Honduras,Model C,2025
EV-ACME-00026,ACEMDLE19SH000026,CLI-00910,SUC-008,Chile,Model E,2025
EV-ACME-00027,ACEMDLC19SF000027,CLI-00856,SUC-006,Argentina,Model C,2025
EV-ACME-00028,ACEMDLE11TB000028,CLI-00012,SUC-002,Guatemala,Model E,2026
EV-ACME-00029,ACEMDLC15SE000029,CLI-00170,SUC-005,Colombia,Model C,2025
EV-ACME-00030,ACEMDLE10SD000030,CLI-00160,SUC-004,Costa Rica,Model E,2025
EV-ACME-00031,ACEMDLD17TH000031,CLI-00063,SUC-008,Chile,Model D,2026
EV-ACME-00032,ACEMDLE14RK000032,CLI-00835,SUC-010,Perú,Model E,2024
EV-ACME-00033,ACEMDLB12RC000033,CLI-00510,SUC-003,Honduras,Model B,2024
EV-ACME-00034,ACEMDLD14TF000034,CLI-00468,SUC-006,Argentina,Model D,2026
EV-ACME-00035,ACEMDLD18TB000035,CLI-00218,SUC-002,Guatemala,Model D,2026
EV-ACME-00036,ACEMDLF11SG000036,CLI-00304,SUC-007,Canadá,Model F,2025
EV-ACME-00037,ACEMDLB18RJ000037,CLI-00834,SUC-009,Panamá,Model B,2024
EV-ACME-00038,ACEMDLB19RF000038,CLI-00188,SUC-006,Argentina,Model B,2024
EV-ACME-00039,ACEMDLE13SB000039,CLI-00045,SUC-002,Guatemala,Model E,2025
EV-ACME-00040,ACEMDLF16TG000040,CLI-00144,SUC-007,Canadá,Model F,2026
EV-ACME-00041,ACEMDLA13TB000041,CLI-00284,SUC-002,Guatemala,Model A,2026
EV-ACME-00042,ACEMDLD10RA000042,CLI-00007,SUC-001,México,Model D,2024
EV-ACME-00043,ACEMDLC13RG000043,CLI-00040,SUC-007,Canadá,Model C,2024
EV-ACME-00044,ACEMDLB10SD000044,CLI-00600,SUC-004,Costa Rica,Model B,2025
EV-ACME-00045,ACEMDLF12RC000045,CLI-00650,SUC-003,Honduras,Model F,2024
EV-ACME-00046,ACEMDLD13SA000046,CLI-00753,SUC-001,México,Model D,2025
EV-ACME-00047,ACEMDLF19TB000047,CLI-00725,SUC-002,Guatemala,Model F,2026
EV-ACME-00048,ACEMDLB14SH000048,CLI-00343,SUC-008,Chile,Model B,2025
EV-ACME-00049,ACEMDLF15SJ000049,CLI-00487,SUC-009,Panamá,Model F,2025
EV-ACME-00050,ACEMDLB13RB000050,CLI-00300,SUC-002,Guatemala,Model B,2024
EV-ACME-00051,ACEMDLA17TE000051,CLI-00238,SUC-005,Colombia,Model A,2026
EV-ACME-00052,ACEMDLF14TG000052,CLI-00840,SUC-007,Canadá,Model F,2026
EV-ACME-00053,ACEMDLB11RF000053,CLI-00222,SUC-006,Argentina,Model B,2024
EV-ACME-00054,ACEMDLC16RF000054,CLI-00606,SUC-006,Argentina,Model C,2024
EV-ACME-00055,ACEMDLD16SK000055,CLI-00714,SUC-010,Perú,Model D,2025
EV-ACME-00056,ACEMDLD19SK000056,CLI-00024,SUC-010,Perú,Model D,2025
EV-ACME-00057,ACEMDLF13RK000057,CLI-00932,SUC-010,Perú,Model F,2024
EV-ACME-00058,ACEMDLA10RK000058,CLI-00855,SUC-010,Perú,Model A,2024
EV-ACME-00059,ACEMDLE11RJ000059,CLI-00899,SUC-009,Panamá,Model E,2024
EV-ACME-00060,ACEMDLF11RF000060,CLI-00226,SUC-006,Argentina,Model F,2024
EV-ACME-00061,ACEMDLE15TD000061,CLI-00160,SUC-004,Costa Rica,Model E,2026
EV-ACME-00062,ACEMDLF14RK000062,CLI-00283,SUC-010,Perú,Model F,2024
EV-ACME-00063,ACEMDLF17SJ000063,CLI-00252,SUC-009,Panamá,Model F,2025
EV-ACME-00064,ACEMDLA17SK000064,CLI-00227,SUC-010,Perú,Model A,2025
EV-ACME-00065,ACEMDLF10SB000065,CLI-00619,SUC-002,Guatemala,Model F,2025
EV-ACME-00066,ACEMDLE16TC000066,CLI-00503,SUC-003,Honduras,Model E,2026
EV-ACME-00067,ACEMDLA13SA000067,CLI-00890,SUC-001,México,Model A,2025
EV-ACME-00068,ACEMDLE15TB000068,CLI-00756,SUC-002,Guatemala,Model E,2026
EV-ACME-00069,ACEMDLE17SE000069,CLI-00413,SUC-005,Colombia,Model E,2025
EV-ACME-00070,ACEMDLE16RH000070,CLI-00387,SUC-008,Chile,Model E,2024
EV-ACME-00071,ACEMDLC18SF000071,CLI-00944,SUC-006,Argentina,Model C,2025
EV-ACME-00072,ACEMDLD19TF000072,CLI-00626,SUC-006,Argentina,Model D,2026
EV-ACME-00073,ACEMDLD18SK000073,CLI-00900,SUC-010,Perú,Model D,2025
EV-ACME-00074,ACEMDLD17RC000074,CLI-00440,SUC-003,Honduras,Model D,2024
EV-ACME-00075,ACEMDLB10SC000075,CLI-00803,SUC-003,Honduras,Model B,2025
EV-ACME-00076,ACEMDLF10SD000076,CLI-00545,SUC-004,Costa Rica,Model F,2025
EV-ACME-00077,ACEMDLF12TD000077,CLI-00859,SUC-004,Costa Rica,Model F,2026
EV-ACME-00078,ACEMDLE15SD000078,CLI-00419,SUC-004,Costa Rica,Model E,2025
EV-ACME-00079,ACEMDLD12SJ000079,CLI-00198,SUC-009,Panamá,Model D,2025
EV-ACME-00080,ACEMDLF15RA000080,CLI-00318,SUC-001,México,Model F,2024
EV-ACME-00081,ACEMDLC14RF000081,CLI-00317,SUC-006,Argentina,Model C,2024
EV-ACME-00082,ACEMDLB18TF000082,CLI-00347,SUC-006,Argentina,Model B,2026
EV-ACME-00083,ACEMDLA10TF000083,CLI-00340,SUC-006,Argentina,Model A,2026
EV-ACME-00084,ACEMDLD11RJ000084,CLI-00677,SUC-009,Panamá,Model D,2024
EV-ACME-00085,ACEMDLF11TH000085,CLI-00177,SUC-008,Chile,Model F,2026
EV-ACME-00086,ACEMDLB10RG000086,CLI-00388,SUC-007,Canadá,Model B,2024
EV-ACME-00087,ACEMDLD11TJ000087,CLI-00950,SUC-009,Panamá,Model D,2026
EV-ACME-00088,ACEMDLC18TA000088,CLI-00844,SUC-001,México,Model C,2026
EV-ACME-00089,ACEMDLA11SF000089,CLI-00226,SUC-006,Argentina,Model A,2025
EV-ACME-00090,ACEMDLB16TC000090,CLI-00693,SUC-003,Honduras,Model B,2026
EV-ACME-00091,ACEMDLE15TJ000091,CLI-00593,SUC-009,Panamá,Model E,2026
EV-ACME-00092,ACEMDLB16SE000092,CLI-00190,SUC-005,Colombia,Model B,2025
EV-ACME-00093,ACEMDLF13SA000093,CLI-00546,SUC-001,México,Model F,2025
EV-ACME-00094,ACEMDLB12SJ000094,CLI-00767,SUC-009,Panamá,Model B,2025
EV-ACME-00095,ACEMDLF13TC000095,CLI-00895,SUC-003,Honduras,Model F,2026
EV-ACME-00096,ACEMDLD12TG000096,CLI-00674,SUC-007,Canadá,Model D,2026
EV-ACME-00097,ACEMDLF10SG000097,CLI-00576,SUC-007,Canadá,Model F,2025
EV-ACME-00098,ACEMDLE13RF000098,CLI-00455,SUC-006,Argentina,Model E,2024
EV-ACME-00099,ACEMDLA18SD000099,CLI-00428,SUC-004,Costa Rica,Model A,2025
EV-ACME-00100,ACEMDLA11RK000100,CLI-00993,SUC-010,Perú,Model A,2024
EV-ACME-00101,ACEMDLD17SC000101,CLI-00791,SUC-003,Honduras,Model D,2025
EV-ACME-00102,ACEMDLA11TG000102,CLI-00467,SUC-007,Canadá,Model A,2026
EV-ACME-00103,ACEMDLF18SE000103,CLI-00665,SUC-005,Colombia,Model F,2025
EV-ACME-00104,ACEMDLA10RJ000104,CLI-00717,SUC-009,Panamá,Model A,2024
EV-ACME-00105,ACEMDLF16SG000105,CLI-00254,SUC-007,Canadá,Model F,2025
EV-ACME-00106,ACEMDLC14TA000106,CLI-00983,SUC-001,México,Model C,2026
EV-ACME-00107,ACEMDLA14SH000107,CLI-00109,SUC-008,Chile,Model A,2025
EV-ACME-00108,ACEMDLB12SA000108,CLI-00562,SUC-001,México,Model B,2025
EV-ACME-00109,ACEMDLF13TF000109,CLI-00956,SUC-006,Argentina,Model F,2026
EV-ACME-00110,ACEMDLF17TJ000110,CLI-00599,SUC-009,Panamá,Model F,2026
EV-ACME-00111,ACEMDLA10SC000111,CLI-00914,SUC-003,Honduras,Model A,2025
EV-ACME-00112,ACEMDLE19TJ000112,CLI-00951,SUC-009,Panamá,Model E,2026
EV-ACME-00113,ACEMDLB18SJ000113,CLI-00717,SUC-009,Panamá,Model B,2025
EV-ACME-00114,ACEMDLB16SF000114,CLI-00645,SUC-006,Argentina,Model B,2025
EV-ACME-00115,ACEMDLB14SK000115,CLI-00900,SUC-010,Perú,Model B,2025
EV-ACME-00116,ACEMDLE18TC000116,CLI-00183,SUC-003,Honduras,Model E,2026
EV-ACME-00117,ACEMDLF19TK000117,CLI-00714,SUC-010,Perú,Model F,2026
EV-ACME-00118,ACEMDLF16TA000118,CLI-00261,SUC-001,México,Model F,2026
EV-ACME-00119,ACEMDLD10RC000119,CLI-00583,SUC-003,Honduras,Model D,2024
EV-ACME-00120,ACEMDLF12TA000120,CLI-00838,SUC-001,México,Model F,2026
EV-ACME-00121,ACEMDLD13RD000121,CLI-00957,SUC-004,Costa Rica,Model D,2024
EV-ACME-00122,ACEMDLF10RH000122,CLI-00016,SUC-008,Chile,Model F,2024
EV-ACME-00123,ACEMDLD12SE000123,CLI-00059,SUC-005,Colombia,Model D,2025
EV-ACME-00124,ACEMDLA17TD000124,CLI-00918,SUC-004,Costa Rica,Model A,2026
EV-ACME-00125,ACEMDLE11TF000125,CLI-00110,SUC-006,Argentina,Model E,2026
EV-ACME-00126,ACEMDLF19RJ000126,CLI-00434,SUC-009,Panamá,Model F,2024
EV-ACME-00127,ACEMDLE11TF000127,CLI-00476,SUC-006,Argentina,Model E,2026
EV-ACME-00128,ACEMDLF19TF000128,CLI-00865,SUC-006,Argentina,Model F,2026
EV-ACME-00129,ACEMDLC12RB000129,CLI-00003,SUC-002,Guatemala,Model C,2024
EV-ACME-00130,ACEMDLF14SG000130,CLI-00439,SUC-007,Canadá,Model F,2025
EV-ACME-00131,ACEMDLE11TG000131,CLI-00304,SUC-007,Canadá,Model E,2026
